,Overall,KM3_1,KM3_2,KM3_3,KM4_1,KM4_2,KM4_3,KM4_4,KM5_1,KM5_2,KM5_3,KM5_4,KM5_5,KM6_1,KM6_2,KM6_3,KM6_4,KM6_5,KM6_6,KM7_1,KM7_2,KM7_3,KM7_4,KM7_5,KM7_6,KM7_7,KM8_1,KM8_2,KM8_3,KM8_4,KM8_5,KM8_6,KM8_7,KM8_8
internet,0.368,0.10638297872340426,0.25604551920341395,0.732,0.10638297872340426,0.18706697459584296,0.7319148936170212,0.38596491228070173,0.10638297872340426,0.7288888888888889,0.13178294573643412,0.6231884057971014,0.13688212927756654,0.09393939393939393,0.10638297872340426,0.22448979591836735,0.7718446601941747,0.2155688622754491,0.6268656716417911,0.12435233160621761,0.7718446601941747,0.11695906432748537,0.6826347305389222,0.21084337349397592,0.10638297872340426,0.22,0.08695652173913043,0.1485148514851485,0.425,0.08695652173913043,0.8758620689655172,0.4177215189873418,0.5714285714285714,0.24444444444444444
callid,0.481,0.5531914893617021,0.3584637268847795,0.812,0.5531914893617021,0.4110854503464203,0.8425531914893617,0.2771929824561403,0.5531914893617021,0.8533333333333334,0.437984496124031,0.178743961352657,0.4296577946768061,0.46060606060606063,0.5531914893617021,0.7346938775510204,0.8592233009708737,0.3413173652694611,0.16417910447761194,0.45077720207253885,0.8592233009708737,0.4327485380116959,0.1497005988023952,0.3373493975903614,0.5531914893617021,0.72,0.45652173913043476,0.3712871287128713,0.8875,0.5434782608695652,0.8275862068965517,0.2721518987341772,0.2,0.7777777777777778
callwait,0.485,0.5957446808510638,0.3655761024182077,0.8,0.5957446808510638,0.3995381062355658,0.8212765957446808,0.3192982456140351,0.5957446808510638,0.84,0.4728682170542636,0.16908212560386474,0.4220532319391635,0.45151515151515154,0.5957446808510638,0.673469387755102,0.8446601941747572,0.41317365269461076,0.15920398009950248,0.46113989637305697,0.8446601941747572,0.38596491228070173,0.15568862275449102,0.40963855421686746,0.5957446808510638,0.68,0.44565217391304346,0.400990099009901,0.925,0.5869565217391305,0.8137931034482758,0.31645569620253167,0.16428571428571428,0.6666666666666666
forward,0.493,0.574468085106383,0.3684210526315789,0.828,0.574468085106383,0.41570438799076215,0.851063829787234,0.3017543859649123,0.574468085106383,0.8666666666666667,0.43410852713178294,0.20772946859903382,0.44106463878326996,0.4636363636363636,0.574468085106383,0.7346938775510204,0.8592233009708737,0.3652694610778443,0.19402985074626866,0.44041450777202074,0.8592233009708737,0.43859649122807015,0.19760479041916168,0.3614457831325301,0.574468085106383,0.72,0.46195652173913043,0.36633663366336633,0.95,0.5652173913043478,0.8206896551724138,0.3037974683544304,0.22142857142857142,0.7555555555555555
confer,0.502,0.6382978723404256,0.3840682788051209,0.808,0.6382978723404256,0.418013856812933,0.8340425531914893,0.3333333333333333,0.6382978723404256,0.84,0.46124031007751937,0.21739130434782608,0.4524714828897338,0.4575757575757576,0.6382978723404256,0.7551020408163265,0.8398058252427184,0.41916167664670656,0.20398009950248755,0.45595854922279794,0.8398058252427184,0.4152046783625731,0.19760479041916168,0.42168674698795183,0.6382978723404256,0.74,0.45108695652173914,0.3910891089108911,0.9,0.6304347826086957,0.8137931034482758,0.3291139240506329,0.24285714285714285,0.7777777777777778
ebill,0.371,0.19148936170212766,0.267425320056899,0.696,0.19148936170212766,0.20323325635103925,0.7063829787234043,0.37894736842105264,0.19148936170212766,0.6888888888888889,0.0,1.0,0.0,0.0,0.19148936170212766,0.1836734693877551,0.7330097087378641,0.005988023952095809,1.0,0.11398963730569948,0.7330097087378641,0.07017543859649122,1.0,0.0,0.19148936170212766,0.2,0.0,0.0,0.3125,0.17391304347826086,0.8896551724137931,0.3860759493670886,1.0,0.17777777777777778
custcat,2.487,2.5319148936170213,2.0284495021337126,3.768,2.5319148936170213,1.8498845265588915,3.8340425531914892,2.336842105263158,2.5319148936170213,3.88,2.124031007751938,1.8019323671497585,2.182509505703422,1.9878787878787878,2.5319148936170213,2.8979591836734695,3.907766990291262,2.44311377245509,1.7761194029850746,1.932642487046632,3.907766990291262,1.9181286549707601,1.8862275449101797,2.433734939759036,2.5319148936170213,2.86,2.0489130434782608,1.9504950495049505,3.7875,2.5,3.910344827586207,2.3227848101265822,1.6571428571428573,2.933333333333333
cluster_3,1.203,0.0,1.0,2.0,0.0,1.002309468822171,1.9914893617021276,1.056140350877193,0.0,2.0,1.0077519379844961,1.0917874396135265,1.015209125475285,1.003030303030303,0.0,1.3673469387755102,2.0,1.0419161676646707,1.0895522388059702,1.0,2.0,1.0058479532163742,1.1077844311377245,1.0421686746987953,0.0,1.36,1.0054347826086956,1.0,1.875,0.0,1.986206896551724,1.0632911392405062,1.0642857142857143,1.3555555555555556
cluster_4,1.758,0.0,1.768136557610242,2.06,0.0,1.0,2.0,3.0,0.0,2.008888888888889,1.5891472868217054,2.0966183574879227,1.7566539923954372,1.0,0.0,1.9183673469387754,2.0,2.9940119760479043,2.099502487562189,1.0,2.0,1.0,2.3353293413173652,2.9939759036144578,0.0,1.9,1.3043478260869565,1.3465346534653466,1.9375,0.0,1.986206896551724,2.9873417721518987,1.7357142857142858,1.9555555555555555
cluster_5,2.414,0.0,3.004267425320057,1.208,0.0,2.956120092378753,1.1063829787234043,3.066666666666667,0.0,1.0,2.0,3.0,4.0,2.963636363636364,0.0,2.142857142857143,1.0097087378640777,3.125748502994012,2.990049751243781,2.1139896373056994,1.0097087378640777,3.9298245614035086,2.9880239520958085,3.1265060240963853,0.0,2.16,2.8043478260869565,2.782178217821782,1.4375,0.0,0.993103448275862,3.5443037974683542,3.0,2.1555555555555554
cluster_6,2.436,1.0,2.3001422475106685,3.088,1.0,1.071593533487298,3.0,4.280701754385965,1.0,2.951111111111111,1.2015503875968991,4.913043478260869,1.5133079847908746,0.0,1.0,2.0,3.0,4.0,5.0,0.5699481865284974,3.0,0.3508771929824561,4.994011976047904,4.0,1.0,2.06,0.6086956521739131,0.7128712871287128,2.7375,1.0,2.986206896551724,4.379746835443038,5.0,2.0
cluster_7,2.248,5.0,2.2972972972972974,1.592,5.0,1.3926096997690531,1.4936170212765958,3.7157894736842105,5.0,1.4044444444444444,1.496124031007752,2.7004830917874396,2.859315589353612,0.9636363636363636,5.0,6.0,1.0,3.9940119760479043,2.626865671641791,0.0,1.0,2.0,3.0,4.0,5.0,6.0,1.4130434782608696,1.5247524752475248,1.475,5.0,1.0275862068965518,3.6139240506329116,2.442857142857143,6.0
cluster_8,3.025,3.021276595744681,2.77524893314367,3.728,3.021276595744681,1.8521939953810624,3.7319148936170214,4.224561403508772,3.021276595744681,3.617777777777778,1.054263565891473,5.695652173913044,2.349809885931559,0.5545454545454546,3.021276595744681,6.551020408163265,3.3980582524271843,3.215568862275449,5.681592039800995,1.1554404145077721,3.3980582524271843,0.9590643274853801,5.634730538922156,3.2048192771084336,3.021276595744681,6.46,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0
