,0,1,2,3,4,5,6,7,8,9
cardmon,0.4844572604995564,0.40553022000391636,0.1418872656670532,0.2099423582458574,-0.298719668962894,-0.3426225067777428,-0.10783211498117927,0.07356226010717047,0.33576178465008044,0.15474944879026806
wiremon,0.8035164924010757,-0.2890457866146725,0.11588125852425898,-0.02124534978237505,0.007183301623854781,0.037617368366542316,-0.027857544948427935,-0.024060980739483567,0.19236092458470605,-0.3448935785823869
multline,0.32063317007196307,-0.07067026744736193,0.5617914594854629,0.23310140339055435,-0.09617807611754343,-0.04938723246308806,-0.019940212522398245,0.11746672723817872,-0.49341992316065875,-0.21342608829297072
voice,0.6678786725986852,-0.30932450171680664,0.03939063501706096,-0.021571339984589585,0.0255774069783676,0.0018802319604133025,-0.016034019356610103,0.04974862643586852,0.16033565595597815,-0.222481116239645
pager,0.6928104948151421,-0.3266283456841182,0.024175313571876116,-0.025982212340252452,0.0581170267490558,0.017955793197373077,0.02188400962300417,-0.06584880601885261,0.14454068686663496,-0.2492821921014278
internet,0.2947540315159254,-0.6140464702454648,0.35193897958796416,-0.020695738596835444,-0.012569205991646357,0.03606769181410322,-0.020458693316495722,-0.025229950368284848,0.016750707704245107,0.21177396063073345
callid,0.7073494239987604,0.13046743430582472,-0.37634692899089006,-0.05973711963147227,0.0465206372991973,0.04237393662935929,-0.0008702170174972505,0.007380732975559466,-0.058471861536270646,0.12530214148607574
callwait,0.7023399151045356,0.1604378369464399,-0.3800449773855727,-0.0454947328480538,-0.0010001707483178236,0.03638681480035828,0.03608659099006964,-0.009121240554655618,-0.1470707981043395,0.07909686902008901
forward,0.7044625831214214,0.13703239786098195,-0.3506304087335212,-0.032112552926522916,-0.022704677309984655,0.014793229801540145,0.028867373686381106,-0.0269973944396933,-0.07725224792594935,0.12514979424413347
confer,0.6909289741687442,0.17392265046309283,-0.3090705939408625,-0.07980113644150337,0.004483258372180922,0.03453353295473298,0.04159365393022515,0.06570964244782718,-0.08730612817210866,0.07326255380226535
ebill,0.21528583678918362,-0.6033891807406936,0.36062231951123025,-0.10871120521312211,-0.02520643773910209,0.04165578452915444,-0.008154932832945433,-0.11288200314160576,0.0079988615526049,0.14058380455212013
custcat,0.8831090428688252,-0.030747677531456033,-0.13328501568554327,0.04767809839851659,-0.031647418212475686,0.01293699573895664,0.02183257704217826,0.05263168884155067,-0.1691832933232746,-0.013677005216775699
